dgp,n,p,pi,tau,replication,seed,alpha_true,iteration_warning_policy,direct_true_alpha_accepted,direct_true_alpha_rejected,direct_true_alpha_available,grid_variant,alpha_hat,bias,squared_error,covered,cr_lower,cr_upper,cr_length,cr_components,full_grid_accepted,empty_cr,number_of_connected_components,number_of_alpha_evaluations,failed_alpha_evaluations,fully_converged_evaluations,iteration_limit_warning_evaluations,usable_warning_evaluations,unusable_warning_evaluations,runtime_seconds,converged,usable,warning_type,iteration_limit_warning,finite_statistic_available,statistic_used_for_inference,failure_reason,interpolated_true_alpha_accepted,direct_vs_interpolated_mismatch,interpolation_vs_region_mismatch,coverage_loss_vs_direct,interpolation_loss_vs_direct,reconstruction_loss,alpha_true_exact_grid_point,exact_grid_point_consistency_mismatch
dgp1,100,20,1.0,0.5,0,2008752093933112654,1.0,reject,True,False,True,grid_21,2.0,1.0,1.0,True,0.2195310066495058,3.0,2.7804689933504942,"[[0.2195310066495058,3.0]]",False,False,1,21,0,21,0,0,0,0.17570170015096664,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,0,2008752093933112654,1.0,reject,True,False,True,grid_41,1.9000000000000004,0.9000000000000004,0.8100000000000006,True,0.22904926332606074,3.0,2.770950736673939,"[[0.22904926332606074,3.0]]",False,False,1,41,0,41,0,0,0,0.29733490012586117,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,0,2008752093933112654,1.0,reject,True,False,True,grid_81,1.9000000000000004,0.9000000000000004,0.8100000000000006,True,0.2348454928565274,3.0,2.7635600670060816,"[[0.2348454928565274,2.7495675686155034],[2.7511620087528943,3.0]]",False,False,2,81,0,81,0,0,0,0.6391506004147232,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,0,2008752093933112654,1.0,reject,True,False,True,adaptive_21_to_0.025,2.0,1.0,1.0,True,0.23949942748408745,3.0,2.7605005725159124,"[[0.23949942748408745,3.0]]",False,False,1,24,0,24,0,0,0,0.21666780021041632,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,1,5686464353920467317,1.0,reject,True,False,True,grid_21,2.0,1.0,1.0,True,0.143391146437247,3.0,2.856608853562753,"[[0.143391146437247,3.0]]",False,False,1,21,0,21,0,0,0,0.1452497011050582,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,1,5686464353920467317,1.0,reject,True,False,True,grid_41,1.9000000000000004,0.9000000000000004,0.8100000000000006,True,0.1467429919769247,3.0,2.8532570080230752,"[[0.1467429919769247,3.0]]",False,False,1,41,0,41,0,0,0,0.3512984015978873,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,1,5686464353920467317,1.0,reject,True,False,True,grid_81,1.9000000000000004,0.9000000000000004,0.8100000000000006,True,0.14494014735630814,3.0,2.855059852643692,"[[0.14494014735630814,3.0]]",False,False,1,81,0,81,0,0,0,0.7070773001760244,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,1,5686464353920467317,1.0,reject,True,False,True,adaptive_21_to_0.025,2.0,1.0,1.0,True,0.14490946328657464,3.0,2.8550905367134254,"[[0.14490946328657464,3.0]]",False,False,1,24,0,24,0,0,0,0.18177350144833326,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,2,8568630767773142461,1.0,reject,True,False,True,grid_21,1.2000000000000002,0.20000000000000018,0.04000000000000007,True,-0.8701155265894617,2.149582924549274,2.6196984511392163,"[[-0.8701155265894617,-0.19999999999981868],[0.19999999999970067,2.149582924549274]]",False,False,2,21,1,20,1,0,1,0.2290162001736462,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,2,8568630767773142461,1.0,reject,True,False,True,grid_41,1.2000000000000002,0.20000000000000018,0.04000000000000007,True,-0.9069914920477328,2.136983490736178,2.7439749827841555,"[[-0.9069914920477328,-0.09999999999990498],[0.1999999999998504,2.136983490736178]]",False,False,2,41,2,39,2,0,2,0.42772800056263804,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,2,8568630767773142461,1.0,reject,True,False,True,grid_81,0.9500000000000002,-0.04999999999999982,0.0024999999999999823,True,-0.9092766073193995,2.14150357498095,2.7507801823005864,"[[-0.9092766073193995,-0.2999999999999301],[-0.20000000000004525,-0.04999999999994866],[0.1499999999999297,2.14150357498095]]",False,False,3,81,4,77,4,0,4,0.8595610000193119,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=4/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,2,8568630767773142461,1.0,reject,True,False,True,adaptive_21_to_0.025,1.2000000000000002,0.20000000000000018,0.04000000000000007,True,-0.905708928170345,2.141841554847754,2.8475504830181597,"[[-0.905708928170345,-0.04999999999997435],[0.1499999999999649,2.141841554847754]]",False,False,2,33,4,29,4,0,4,0.49279170064255595,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=4/33,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,3,801607811797999901,1.0,reject,,,False,grid_21,1.4000000000000004,0.40000000000000036,0.16000000000000028,False,0.4235976505112729,2.2647109592120223,1.4411133087018613,"[[0.4235976505112729,0.8000000000003936],[1.1999999999992816,2.2647109592120223]]",False,False,2,21,1,20,1,0,1,0.20186359994113445,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,False,,False,,,False,True,False
dgp1,100,20,1.0,0.5,3,801607811797999901,1.0,reject,,,False,grid_41,1.4000000000000004,0.40000000000000036,0.16000000000000028,False,0.4200444608753882,2.2338559408304075,1.6138114799556036,"[[0.4200444608753882,0.900000000000239],[1.0999999999996548,2.2338559408304075]]",False,False,2,41,2,39,2,0,2,0.4348856001161039,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/41,False,,False,,,False,True,False
dgp1,100,20,1.0,0.5,3,801607811797999901,1.0,reject,,,False,grid_81,1.4000000000000004,0.40000000000000036,0.16000000000000028,False,0.4164067816744486,2.236224134701696,1.719817353027554,"[[0.4164067816744486,0.9500000000001381],[1.0499999999998315,2.236224134701696]]",False,False,2,81,2,79,2,0,2,0.833624099381268,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/81,False,,False,,,False,True,False
dgp1,100,20,1.0,0.5,3,801607811797999901,1.0,reject,,,False,adaptive_21_to_0.025,1.4000000000000004,0.40000000000000036,0.16000000000000028,False,0.4154465295097606,2.2378349696650774,1.747388440155467,"[[0.4154465295097606,0.9500000000000689],[1.0249999999999189,2.2378349696650774]]",False,False,2,33,2,31,2,0,2,0.4020744999870658,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/33,False,,False,,,False,True,False
dgp1,100,20,1.0,0.5,4,3279596845945488060,1.0,reject,True,False,True,grid_21,1.6,0.6000000000000001,0.3600000000000001,True,0.420323485507872,2.6903598968277045,2.2700364113198326,"[[0.420323485507872,2.6903598968277045]]",False,False,1,21,0,21,0,0,0,0.18264399887993932,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,4,3279596845945488060,1.0,reject,True,False,True,grid_41,1.5,0.5,0.25,True,0.41691793241987846,2.6536765253403622,2.0367585929212004,"[[0.41691793241987846,1.8000000000003742],[1.9999999999996576,2.6536765253403622]]",False,False,2,41,1,40,1,0,1,0.3593629994429648,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/41,True,False,False,False,False,False,True,False
